City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,mount gambier,-37.8333,140.7667,14.35,90,100,5.88,AU,1701198414
321,andovoranto,-18.95,49.1,23.57,81,0,2.8,MG,1701198414
322,kiruna,67.8557,20.2251,-5.49,80,100,6.69,SE,1701198414
323,fort st. john,56.2499,-120.8529,1.28,69,2,5.71,CA,1701198414
324,srikakulam,18.3,83.9,21.58,83,73,2.88,IN,1701198415
325,micheweni,-4.9667,39.8333,26.36,86,24,2.13,TZ,1701198415
326,crane,31.3974,-102.3501,12.75,39,53,4.29,US,1701198415
327,utrik,11.2278,169.8474,27.02,77,100,8.01,MH,1701198415
328,cockburn town,21.4612,-71.1419,27.29,69,6,4.42,TC,1701198326
329,pointe aux piments,-20.0628,57.5131,24.73,88,26,3.34,MU,1701198416
330,saipan,15.1355,145.701,27.39,78,40,5.66,MP,1701198416
331,gaspe,48.8334,-64.4819,1.95,75,75,7.2,CA,1701198362
332,puerto madero,14.7208,-92.4215,31.11,55,20,5.14,MX,1701198416
333,santiago de cao,-7.9589,-79.2392,21.07,78,20,6.17,PE,1701198417
334,paracale,14.2804,122.7881,26.08,92,98,4.42,PH,1701198417
335,berezovyy,51.6667,135.7,-16.97,88,96,0.41,RU,1701198417
336,polyarnyy,69.1989,33.4478,-2.29,83,93,7.42,RU,1701198417
337,inverell,-29.7833,151.1167,18.39,86,100,4.47,AU,1701198418
338,revelstoke,50.9832,-118.2023,0.39,70,7,1.21,CA,1701198418
339,mariental,-24.6333,17.9667,26.38,19,92,9.06,NA,1701198418
340,quellon,-43.1167,-73.6167,13.93,65,91,5.89,CL,1701198418
341,puerto maldonado,-12.6,-69.1833,26.22,89,75,1.54,PE,1701198419
342,ndele,8.4109,20.6473,27.65,26,39,1.13,CF,1701198419
343,namie,37.4833,141.0,6.51,74,13,2.98,JP,1701198419
344,oamaru,-45.0784,170.9801,8.54,78,0,4.85,NZ,1701198419
345,amga,60.8953,131.9608,-27.91,100,100,0.88,RU,1701198420
346,harstad,68.799,16.5293,-1.03,78,13,2.74,NO,1701198420
347,encantado,-29.2361,-51.8697,24.23,100,100,0.76,BR,1701198420
348,ust'-ilimsk,58.0006,102.6619,-21.96,99,76,1.56,RU,1701198420
349,marang,5.2056,103.2059,25.84,87,100,1.89,MY,1701198421
350,talcahuano,-36.7167,-73.1167,17.82,63,40,6.17,CL,1701198205
351,tura,25.5198,90.2201,18.68,70,100,1.28,IN,1701198421
352,chonchi,-42.6128,-73.8092,14.51,60,62,4.55,CL,1701198129
353,itteville,48.5154,2.3438,4.31,79,76,2.08,FR,1701198422
354,san julian,21.0167,-102.1667,19.8,47,100,3.34,MX,1701198422
355,yarmouth,41.7057,-70.2286,4.44,47,75,10.73,US,1701198423
356,ormara,25.2088,64.6357,24.47,60,61,3.66,PK,1701198423
357,paramonga,-10.6667,-77.8333,22.03,75,54,5.24,PE,1701198423
358,altay,47.8667,88.1167,-2.91,53,0,3.97,CN,1701198424
359,zolochiv,49.806,24.8944,-0.39,91,100,3.19,UA,1701198424
360,wynyard,-41.0,145.7167,12.88,76,11,6.2,AU,1701198424
361,tambacounda,13.7539,-13.7586,31.64,19,4,2.81,SN,1701198425
362,al kharijah,25.4514,30.5464,16.97,43,100,3.56,EG,1701198425
